Номер закладной	Дата выдачи	Дата погашения	Текущий ОД	Ставка по кредиту	Кредит/Залог	Регион	Первоначальный ОД	Доходы заемщика	Образование	Продукт
11733	2015-05-15	2025-07-15	486963.54	15.95	42.4	31	600000.0	35000.0	4	0
11734	2015-10-06	2021-03-10	288013.29	14.0	84.88	31	1330000.0	20416.02	4	0
11735	2011-11-23	2026-11-18	538993.37	11.75	33.43	63	1100000.0	31500.0	4	0
11736	2011-11-30	2027-01-29	444823.24	11.25	28.57	63	600000.0	24168.86	3	0
11737	2012-02-06	2027-04-06	495045.84	11.25	38.61	63	660000.0	27108.65	5	0
11738	2013-08-19	2028-10-19	833860.04	14.05	62.9	63	975000.0	40000.0	5	0
11739	2013-08-20	2028-10-20	427763.47	13.8	28.49	63	500000.0	25000.0	4	0
11740	2013-08-13	2028-08-18	597118.27	12.8	57.24	63	1150000.0	28720.67	5	0
11741	2013-08-06	2028-10-06	925160.85	13.05	72.66	63	1095000.0	16149.15	4	0
11742	2013-07-30	2028-07-10	485085.96	13.75	48.87	63	1300000.0	55000.0	4	0
11743	2013-08-07	2026-10-28	746633.56	12.8	30.63	63	1000000.0	51054.37	5	0
11744	2013-07-26	2020-09-25	357996.55	11.4	35.46	63	1000000.0	34806.57	5	0
11745	2013-07-16	2020-09-16	358245.93	11.4	37.66	63	1000000.0	39950.0	5	0
11746	2013-06-28	2028-08-28	831244.73	14.05	64.78	63	975000.0	40000.0	4	0
11747	2013-06-20	2028-08-18	762649.94	13.75	50.0	63	900000.0	30000.0	5	0
11748	2013-05-27	2020-07-27	308069.1	13.35	76.47	63	1300000.0	33712.5	4	0
11749	2013-06-07	2020-08-07	247917.45	11.4	28.09	63	750000.0	25000.0	5	0
11750	2013-05-29	2028-07-28	670108.26	13.75	58.45	63	792000.0	19660.99	5	0
11751	2013-04-30	2020-06-30	326977.45	12.95	43.38	63	1000000.0	23356.19	4	0
11752	2013-03-27	2023-05-26	501263.91	13.75	45.71	63	800000.0	25000.0	4	0
11753	2012-12-28	2020-02-28	225076.2	10.4	40.0	63	900000.0	36075.53	5	0
11754	2012-12-22	2028-02-22	530688.6	14.15	64.97	63	1098000.0	30000.0	5	0
11755	2012-08-31	2022-10-31	950764.48	13.55	44.31	63	3000000.0	90000.0	5	0
11756	2012-07-27	2027-09-27	762443.98	13.05	66.81	63	952800.0	20581.13	4	0
11757	2012-07-31	2027-09-30	461789.78	10.75	32.17	63	600000.0	20555.97	4	0
11758	2012-05-23	2027-07-23	554622.68	11.55	47.04	63	800000.0	19749.36	5	0
11759	2012-06-01	2027-07-30	747995.94	11.45	56.02	63	1344000.0	28311.35	5	0
11760	2012-03-14	2027-05-14	564727.09	11.55	56.38	63	1100000.0	39219.0	3	0
11761	2013-08-29	2023-10-27	556040.5	14.05	64.74	63	1300000.0	40000.0	4	0
11762	2013-12-19	2028-09-28	1245703.29	12.55	89.33	29	1900000.0	35940.11	5	0
11763	2014-09-25	2034-11-24	1604104.73	12.55	75.62	63	1700000.0	32321.54	5	0
11764	2014-10-20	2024-12-20	1662559.12	12.15	40.82	78	2200000.0	66399.93	5	0
11765	2013-02-12	2021-03-29	338816.17	12.05	40.0	29	1146000.0	38152.97	5	0
11766	2013-01-11	2023-03-10	468778.55	12.55	28.49	29	800000.0	36773.75	5	0
11767	2012-12-12	2028-02-11	637542.92	14.05	54.39	29	1170000.0	33000.0	4	0
